Cod Refer,ECF
1182411,1.01.05.04
1182421,1.01.05.04
1182481,1.01.05.04
119111,1.01.05.04
119112,1.01.05.04
11912,1.01.05.04
11915,1.01.05.04
1192111,1.01.05.04
1192112,1.01.05.04
1192121,1.01.05.04
1192122,1.01.05.04
119221,1.01.05.04
119222,1.01.05.04
11925,1.01.05.04
11926,1.01.05.04
119311,1.01.05.04
119312,1.01.05.04
11932,1.01.05.04
11934,1.01.05.04
119411,1.01.05.04
119412,1.01.05.04
11942,1.01.05.04
11944,1.01.05.04
1198,1.01.05.04
1199,1.01.05.04
12111111,1.02.01.01
12111112,1.02.01.01
12111121,1.02.01.01
12111122,1.02.01.01
1211119,1.02.01.01
12111211,1.02.01.02
12111212,1.02.01.02
12111221,1.02.01.02
12111222,1.02.01.02
1211129,1.02.01.02
12112111,1.02.01.01
12112112,1.02.01.01
12112121,1.02.01.01
12112122,1.02.01.01
12112131,1.02.01.01
12112132,1.02.01.01
12112141,1.02.01.01
12112142,1.02.01.01
1211219,1.02.01.01
12112211,1.02.01.02
12112212,1.02.01.02
12112221,1.02.01.02
12112222,1.02.01.02
12112231,1.02.01.02
12112232,1.02.01.02
12112241,1.02.01.02
12112242,1.02.01.02
1211229,1.02.01.02
12113111,1.02.01.03
12113112,1.02.01.03
12113121,1.02.01.03
12113122,1.02.01.03
12113131,1.02.01.03
12113133,1.02.01.03
12113135,1.02.01.03
12113181,1.02.01.03
12113182,1.02.01.03
1211319,1.02.01.03
12113211,1.02.01.04
12113212,1.02.01.04
12113221,1.02.01.04
12113222,1.02.01.04
12113231,1.02.01.04
12113233,1.02.01.04
12113235,1.02.01.04
12113281,1.02.01.04
12113282,1.02.01.04
1211329,1.02.01.04
121151,1.02.01.10
121161111,1.02.01.05
121161112,1.02.01.05
121161121,1.02.01.05
121161122,1.02.01.05
121161131,1.02.01.05
121161132,1.02.01.05
12116121,1.02.01.05
12116122,1.02.01.05
121162111,1.02.01.06
121162112,1.02.01.06
121162121,1.02.01.06
121162122,1.02.01.06
121162131,1.02.01.06
121162132,1.02.01.06
12116221,1.02.01.06
12116222,1.02.01.06
1211711,1.02.01.07
1211712,1.02.01.07
1211719,1.02.01.07
1211721,1.02.01.08
1211722,1.02.01.08
1211729,1.02.01.08
12118181,1.02.01.09
12118182,1.02.01.09
12118189,1.02.01.09
1211821,1.02.01.10
1211822,1.02.01.10
12118281,1.02.01.10
12118282,1.02.01.10
12118289,1.02.01.10
121191,1.02.01.10
121192,1.02.01.10
121199,1.02.01.10
1212111,1.02.02.01
1212112,1.02.02.01
1212121,1.02.02.01
1212122,1.02.02.01
1212131,1.02.02.03
1212132,1.02.02.03
1212133,1.02.02.03
121219,1.02.02.03
1212211,1.02.02.02
1212218,1.02.02.02
1212221,1.02.02.02
1212222,1.02.02.02
1212223,1.02.02.02
1212224,1.02.02.02
1212228,1.02.02.02
12122311,1.02.02.03
12122312,1.02.02.03
12122321,1.02.02.03
12122322,1.02.02.03
12122331,1.02.02.01
12122332,1.02.02.01
1212234,1.02.02.01
1212235,1.02.02.01
1212238,1.02.02.01
121229,1.02.02.01
121231,1.02.02.01
121239,1.02.02.01
121241111,1.02.02.03
1212418,1.02.02.03
121242111,1.02.02.03
121242121,1.02.02.03
121242122,1.02.02.03
121242131,1.02.02.03
121242132,1.02.02.03
1212428,1.02.02.03
121243111,1.02.02.03
1212438,1.02.02.03
121249,1.02.02.03
121251,1.02.02.04
121252,1.02.02.04
121253,1.02.02.04
121258,1.02.02.04
121259,1.02.02.04
12126111,1.02.02.04
12126112,1.02.02.04
12126113,1.02.02.04
12126121,1.02.02.04
12126122,1.02.02.04
12126123,1.02.02.04
12126181,1.02.02.04
12126182,1.02.02.04
12126183,1.02.02.04
1212619,1.02.02.04
12126211,1.02.02.04
12126212,1.02.02.04
12126218,1.02.02.04
12126221,1.02.02.04
12126222,1.02.02.04
12126228,1.02.02.04
1212627,1.02.02.04
12126281,1.02.02.04
12126282,1.02.02.04
12126288,1.02.02.04
1212629,1.02.02.04
1212711,1.02.02.05
1212712,1.02.02.05
1212713,1.02.02.05
1212731,1.02.02.05
1212732,1.02.02.05
1212733,1.02.02.05
1212781,1.02.02.05
1212782,1.02.02.05
1212783,1.02.02.05
121279,
121281,1.02.02.06
121282,1.02.02.06
121286,1.02.02.06
121288,1.02.02.06
121289,1.02.02.06
121311,1.02.03.08
121314,1.02.03.08
121319,1.02.03.08
121321,1.02.03.08
121322,1.02.03.08
121328,1.02.03.08
121329,1.02.03.08
121331,1.02.04.02
121332,1.02.04.02
121334,1.02.04.02
121338,1.02.04.02
121339,1.02.04.02
1213411,1.02.03.01
1213412,1.02.03.01
1213413,1.02.03.01
1213416,1.02.03.01
1213421,1.02.03.02
1213422,1.02.03.02
1213423,1.02.03.02
1213424,1.02.03.02
1213426,1.02.03.02
121344,1.02.03.02
1213451,1.02.03.04
1213452,1.02.03.05
121348,1.02.03.06
121349,1.02.03.06
121351,1.02.03.07
121352,1.02.03.07
121353,1.02.03.07
121354,1.02.03.07
121355,1.02.03.07
121356,1.02.03.07
121357,1.02.03.07
121358,1.02.03.07
121381,1.02.03.08
121388,1.02.03.08
121389,1.02.03.08
121391,1.02.03.08
121392,1.02.03.08
121393,1.02.03.08
121394,1.02.03.08
121398,1.02.03.08
121399,1.02.03.08
121411,1.02.04.01
121511,1.02.04.02
1215121,1.02.04.02
1215122,1.02.04.02
121519,1.02.04.02
121611,1.02.04.03
121621,1.02.04.03
12168,1.02.04.03
1217111,1.02.04.04
1217112,1.02.04.04
12171141,1.02.04.04
12171142,1.02.04.04
12171143,1.02.04.04
1217115,1.02.04.04
1217116,1.02.04.04
1217118,1.02.04.04
1217123,1.02.04.04
1217124,1.02.04.04
1217131,1.02.04.04
1217132,1.02.04.04
12171411,1.02.04.04
